district_id,district,province,province_id,area_sqkm,center_lat,center_lon,flood_exposure_raw,drought_stress_raw,heat_stress_raw,rainfall_variability_raw,population_density_raw,poverty_headcount_raw,rural_agri_share_raw
PK101,Bagh,Azad Kashmir,PK1,694.41686731,34.00345966,73.73137722,42.0,18.0,20.5,25.0,180.0,24.3,82.0
PK102,Bhimber,Azad Kashmir,PK1,1212.94727304,33.0141365,74.15025594,42.0,18.0,26.0,25.0,380.0,16.2,82.0
PK103,Jhelum Valley,Azad Kashmir,PK1,681.76507907,34.18810082,73.79666936,42.0,18.0,20.5,25.0,180.0,32.0,82.0
PK104,Haveli,Azad Kashmir,PK1,550.89304858,33.93504153,74.11984541,42.0,18.0,20.5,25.0,180.0,38.2,82.0
PK105,Kotli,Azad Kashmir,PK1,1599.11706562,33.45426468,73.94688109,42.0,18.0,20.5,25.0,380.0,22.4,82.0
PK106,Mirpur,Azad Kashmir,PK1,896.92933494,33.2390211,73.75892212,58.0,18.0,26.0,25.0,380.0,11.8,65.0
PK107,Muzaffarabad,Azad Kashmir,PK1,1361.01280394,34.32343504,73.57999271,58.0,18.0,20.5,25.0,180.0,25.1,65.0
PK108,Neelum,Azad Kashmir,PK1,3137.46611349,34.75691795,73.98522946,58.0,18.0,20.5,25.0,180.0,44.5,82.0
PK109,Poonch,Azad Kashmir,PK1,719.56965304,33.78574504,73.89679997,42.0,18.0,20.5,25.0,180.0,20.8,82.0
PK110,Sudhnoti,Azad Kashmir,PK1,567.86224962,33.70396099,73.73941615,42.0,18.0,20.5,25.0,180.0,22.5,82.0
PK201,Awaran,Balochistan,PK2,24989.60334836,26.42397797,65.46475023,68.0,94.0,31.0,72.0,4.1,84.2,91.0
PK202,Barkhan,Balochistan,PK2,3515.44114244,29.98450729,69.69123702,68.0,76.0,31.0,72.0,28.0,87.1,91.2
PK203,Chagai,Balochistan,PK2,44476.87198806,28.87502079,63.41802386,68.0,94.0,31.0,72.0,5.1,78.9,84.0
PK204,Dera Bugti,Balochistan,PK2,10294.11318045,29.05961766,69.01115142,68.0,76.0,31.0,72.0,28.0,88.5,89.2
PK205,Gwadar,Balochistan,PK2,11574.37768473,25.42529011,62.54754294,32.0,68.0,31.0,72.0,21.0,52.1,51.2
PK206,Harnai,Balochistan,PK2,3062.96832534,30.04158602,68.08639528,68.0,68.0,31.0,72.0,28.0,86.4,84.0
PK207,Jaffarabad,Balochistan,PK2,1701.8367009,28.24897137,68.1026514,92.0,68.0,37.0,78.0,320.0,74.5,84.0
PK208,Jhal Magsi,Balochistan,PK2,3860.09133978,28.36992006,67.54256595,92.0,68.0,31.0,72.0,28.0,84.6,84.0
PK209,Kachhi,Balochistan,PK2,5363.91234407,29.34072654,67.65868567,92.0,68.0,37.0,78.0,28.0,81.0,84.0
PK210,Kalat,Balochistan,PK2,10179.77029569,29.08847412,66.76992646,68.0,68.0,22.5,62.0,28.0,77.0,84.0
PK211,Kech,Balochistan,PK2,24419.26922155,26.00788891,63.09183307,68.0,94.0,37.0,78.0,28.0,65.4,84.0
PK212,Kharan,Balochistan,PK2,8215.89960795,28.72929692,65.4966715,68.0,94.0,31.0,72.0,10.7,82.5,84.2
PK213,Khuzdar,Balochistan,PK2,30954.90112722,27.29381322,66.48125071,92.0,68.0,31.0,72.0,23.0,79.1,84.0
PK214,Killa Abdullah,Balochistan,PK2,2992.9600501,31.11628248,67.02418538,68.0,68.0,31.0,72.0,28.0,78.0,84.0
PK215,Killa Saifullah,Balochistan,PK2,12403.85893109,31.05339652,68.49933222,68.0,68.0,31.0,72.0,28.0,78.0,84.0
PK216,Kohlu,Balochistan,PK2,7728.05262553,29.64408643,68.80719468,68.0,76.0,31.0,72.0,28.0,89.2,93.8
PK217,Lasbela,Balochistan,PK2,14057.35277035,25.77341673,66.60343932,92.0,68.0,31.0,72.0,28.0,68.4,84.0
