district_id,district,province,province_id,area_sqkm,center_lat,center_lon
PK101,Bagh,Azad Kashmir,PK1,694.41686731,34.00345966,73.73137722
PK102,Bhimber,Azad Kashmir,PK1,1212.94727304,33.0141365,74.15025594
PK103,Jhelum Valley,Azad Kashmir,PK1,681.76507907,34.18810082,73.79666936
PK104,Haveli,Azad Kashmir,PK1,550.89304858,33.93504153,74.11984541
PK105,Kotli,Azad Kashmir,PK1,1599.11706562,33.45426468,73.94688109
PK106,Mirpur,Azad Kashmir,PK1,896.92933494,33.2390211,73.75892212
PK107,Muzaffarabad,Azad Kashmir,PK1,1361.01280394,34.32343504,73.57999271
PK108,Neelum,Azad Kashmir,PK1,3137.46611349,34.75691795,73.98522946
PK109,Poonch,Azad Kashmir,PK1,719.56965304,33.78574504,73.89679997
PK110,Sudhnoti,Azad Kashmir,PK1,567.86224962,33.70396099,73.73941615
PK201,Awaran,Balochistan,PK2,24989.60334836,26.42397797,65.46475023
PK202,Barkhan,Balochistan,PK2,3515.44114244,29.98450729,69.69123702
PK203,Chagai,Balochistan,PK2,44476.87198806,28.87502079,63.41802386
PK204,Dera Bugti,Balochistan,PK2,10294.11318045,29.05961766,69.01115142
PK205,Gwadar,Balochistan,PK2,11574.37768473,25.42529011,62.54754294
PK206,Harnai,Balochistan,PK2,3062.96832534,30.04158602,68.08639528
PK207,Jaffarabad,Balochistan,PK2,1701.8367009,28.24897137,68.1026514
PK208,Jhal Magsi,Balochistan,PK2,3860.09133978,28.36992006,67.54256595
PK209,Kachhi,Balochistan,PK2,5363.91234407,29.34072654,67.65868567
PK210,Kalat,Balochistan,PK2,10179.77029569,29.08847412,66.76992646
PK211,Kech,Balochistan,PK2,24419.26922155,26.00788891,63.09183307
PK212,Kharan,Balochistan,PK2,8215.89960795,28.72929692,65.4966715
PK213,Khuzdar,Balochistan,PK2,30954.90112722,27.29381322,66.48125071
PK214,Killa Abdullah,Balochistan,PK2,2992.9600501,31.11628248,67.02418538
PK215,Killa Saifullah,Balochistan,PK2,12403.85893109,31.05339652,68.49933222
PK216,Kohlu,Balochistan,PK2,7728.05262553,29.64408643,68.80719468
PK217,Lasbela,Balochistan,PK2,14057.35277035,25.77341673,66.60343932
PK218,Lehri,Balochistan,PK2,3285.29198826,28.99352569,67.98600513
PK219,Loralai,Balochistan,PK2,3796.60264582,30.47794165,68.88004311
PK220,Mastung,Balochistan,PK2,4712.72577018,29.74562768,66.73051219
PK221,Musakhel,Balochistan,PK2,5900.70124576,30.89708389,69.95799643
PK222,Nasirabad,Balochistan,PK2,3224.90352226,28.62640723,68.12924434
PK223,Nushki,Balochistan,PK2,5863.17391284,29.44681298,65.73250908
PK224,Panjgur,Balochistan,PK2,17582.38584234,26.71466967,64.20205288
PK225,Pishin,Balochistan,PK2,6085.87697415,30.703028,67.13080676
PK226,Quetta,Balochistan,PK2,3759.73445787,30.14141302,67.07743419
PK227,Sherani,Balochistan,PK2,3050.54342514,31.68090077,69.76356767
PK228,Sibi,Balochistan,PK2,4965.91898088,29.72774177,68.25082253
PK229,Sohbatpur,Balochistan,PK2,786.87408887,28.54195553,68.52141184
PK230,Washuk,Balochistan,PK2,39031.17202285,27.79210581,64.30761724
PK231,Zhob,Balochistan,PK2,11936.64089288,31.21179421,69.19694404
PK232,Ziarat,Balochistan,PK2,3271.31573202,30.38073121,68.06567543
PK233,Shaheed Sikandarabad,Balochistan,PK2,3706.43499182,28.32719456,66.18001042
PK234,Duki,Balochistan,PK2,4336.47095976,30.1811,68.95959024
PK235,Chaman,Balochistan,PK2,1635.51326522,30.85581564,66.52685195
PK301,Astore,Gilgit Baltistan,PK3,5132.45856083,35.24827674,74.88360938
PK302,Diamir,Gilgit Baltistan,PK3,4215.4757865,35.37959086,74.21341466
PK303,Ghanche,Gilgit Baltistan,PK3,8673.95162396,35.22094462,76.65998124
PK304,Ghizer,Gilgit Baltistan,PK3,4323.53268454,36.37672968,73.88667028
PK305,Gilgit,Gilgit Baltistan,PK3,4016.02639844,35.96682929,74.50875764
PK306,Hunza,Gilgit Baltistan,PK3,11419.07593321,36.55148578,75.20522182
PK307,Skardu,Gilgit Baltistan,PK3,2118.9510952,35.25698268,75.52140039
PK308,Nagar,Gilgit Baltistan,PK3,3022.1555788,36.29820311,74.84205628
PK309,Kharmang,Gilgit Baltistan,PK3,5971.07699293,34.8367318,75.80374839
PK310,Shigar,Gilgit Baltistan,PK3,8513.354885,35.73634155,75.92160108
PK311,Darel,Gilgit Baltistan,PK3,1650.92586471,35.69912193,73.82870134
